created_at,file_name,followers,friends,group_name,location,retweet_count,screenname,search_query,text,twitter_id,username,polarity,partition_0,partition_1
7/22/2020 13:06,Uganda,4401,995,Uganda,Entebbe | Kigezi | Kisaasi,11,Eric_Of_1691,#Uganda,"RT @chapterfourug: In our second #HRCMediaSeries, we're thrilled to announce that @Nanjala1 will be in conversation with @Opiaiya tomorrow…",,,,,
7/22/2020 13:03,Uganda,1176,1382,Uganda,Berlin,3,CSDSO,#Uganda,RT @HumanDignityT: All power to @hrapf_uganda @jjuukoa &amp,,,,,
7/22/2020 13:03,Uganda,3436,2983,Uganda,"Mbale, Uganda",58,ejobi_eto,#Uganda,"RT @observerug: Will Buganda Kingdom deliver low-cost #housing? While a house in the Kigo project costs at least Shs 300m, someone will be…",,,,,
7/22/2020 13:03,Uganda,77953,1105,Uganda,Uganda,0,ChimpReports,#Uganda,"Ministry of Health, Church of Uganda in Joint Fight against Malaria, #COVID19 #ChimpReportsNews #UgandaNews #Uganda #Featured @MinofHealthUG @DianaAtwine @ChurchofUganda @Archbishop_COU #StaySafeUG #Tonsemberera #SocialDistance #FaceMasks #WearAMask #News  https://t.co/8Gf97nNeBP https://t.co/J2UxksoFH4",,,,,
7/22/2020 12:59,Uganda,1036,783,Uganda,London,2,OzmaLionheart,#Uganda,RT @electricbrolly: 1 ZOOM SHOW When Georgia in #Norfolk meets friends in #Uganda wearing the same T-shirt &amp,,,,,
7/22/2020 12:59,Uganda,1430,597,Uganda,Uganda - Kampala,0,robert_kwesiga,#Uganda,@MinofHealthUG emphasises handwashing as one of the ways to fight the spread of the #coronavirus in #Uganda. Thanks to @UgandaRedCross for implementing these SOPs especially at Points of entry which are one of the high risk areas. @JaneRuth_Aceng @DianaAtwine @ifrc @IFRCAfrica https://t.co/aHcWu9eZPR,,,,,
7/22/2020 12:57,Uganda,1508,1051,Uganda,In the stream.,0,jamespropa,#Uganda,Young people oppressing fellow young people in #Uganda. OTT tax and now crazy regulations targeting musicians. It shouldn't be young people bringing forward such crazy regulations. Nooooo!,,,,,
7/22/2020 12:57,Uganda,23,26,Uganda,London UK - Uganda,0,Iamjasonlife,#Uganda,"Nothing is sexier than your partner who can face temptation and have the level of maturity to say, ""this isn’t worth losing what I have.""👌  My Ugandan Queen👑  Love to you Queens from #Uganda ❤✊🙏 https://t.co/K8fo1m4XLX",,,,,
7/22/2020 12:56,Uganda,1196,1514,Uganda,,2,Jkay_Junster1,#Uganda,"RT @Nuwaherezaflor1: Let's take things to #Uganda with  @McPallaso , L &amp; R Stardust Label https://t.co/tsSPsOdpo7  #NowPlaying King of The…",,,,,
7/22/2020 12:56,Uganda,1094,1279,Uganda,Uganda,0,ariongm,#Uganda,"""A child born today in #Uganda is expected to complete only 7 years of education by age 18, compared to a regional average of 8.1."" A report by the @WorldBank showing the need for investment in #education @TEACH4UG  @Rwakakamba @samagona @OgwangOgwang https://t.co/l0kXokZqc7",,,,,
7/22/2020 12:56,Uganda,1913,2175,Uganda,"Kampala, Uganda",58,boldandsobering,#Uganda,"RT @observerug: Will Buganda Kingdom deliver low-cost #housing? While a house in the Kigo project costs at least Shs 300m, someone will be…",,,,,
7/22/2020 12:56,Uganda,175,10,Uganda,Somalia,0,BaidoaU,#Uganda,"Richard Karemire,spokesman for the #Uganda People's Defense Forces (UPDF),told the media that they have prepared a number of aircraft to support #AMISOM forces in Somalia.He said the importance of the  aircraft would be to supply supplies to all AMISOM forces deployed in #Somalia",,,,,
7/22/2020 12:55,Uganda,77953,1105,Uganda,Uganda,0,ChimpReports,#Uganda,"#Kampala: Police Arrests Woman Who Sedates, Robs Men #ChimpReportsNews #UgandaNews #Uganda #Featured #crime #current @metpoliceug @PoliceUg #StaySafeUG #Tonsemberera #COVID19 #SocialDistance #FaceMasks #WearAMask #WednesdayMotivation #News  https://t.co/gxOU6YBope https://t.co/jcupHu5YUL",,,,,
7/22/2020 12:53,Uganda,106050,3159,Uganda,"East Africa, Uganda",2,McPallaso,#Uganda,"RT @Nuwaherezaflor1: Let's take things to #Uganda with  @McPallaso , L &amp; R Stardust Label https://t.co/tsSPsOdpo7  #NowPlaying King of The…",,,,,
7/22/2020 12:53,Uganda,4342,173,Uganda,Kampala Uganda,0,PSF_Uganda,#Uganda,"The #YoungAfricaWorks launch in #Uganda is happening tomorrow Thursday, 23rd July from 2.30-4.30pm   Tune in @nbstv and Don’t miss to learn about available opportunities for young people in; Agriculture, Tourism &amp; Hospitality, Construction &amp; Housing  #YouthTukole https://t.co/yuaaSMAFxL",,,,,
7/22/2020 12:52,Uganda,99,269,Uganda,,3,AhmadiyyaKings1,#Uganda,RT @AhmadiyyaUg: Gen. Sec. #Uganda #Ahmadiyya Muslim Community Sh. Adam Hamid &amp,,,,,
7/22/2020 12:51,Uganda,16,190,Uganda,Kiboga District,0,PrimoSsenyondo,#Uganda,"Drinking water and adequate #Sanitation are fundamental to human health and well-being. Water related diseases are among the most common causes of illnesses and deaths, affecting mainly the poor in my country #Uganda. People die from preventable diseases. #StayHealthy",,,,,
7/22/2020 12:48,Uganda,3723,4793,Uganda,"Kampala, Uganda",2,dickson_namisi,#Uganda,RT @ChimpReports: @MinofHealthUG Flags Off Second #COVID19 Rapid Assessment Survey Team as Museveni Eases #Lockdown  #ChimpReportsNews #Uga…,,,,,
7/22/2020 12:48,Uganda,8048,475,Uganda,"London, India, Uganda",2,STIReducation,#Uganda,RT @Camb_Ed: We're keeping children in #Uganda learning during #COVID19 by broadcasting literacy and numeracy radio lessons. Find out more…,,,,,
7/22/2020 12:48,Uganda,7391,2635,Uganda,,0,JDevermont,#Uganda,"On this day in history, U.S. analysts discussed efforts by #Tanzania, #Uganda, and #Zambia to press the UK not to resume arms sales to South Africa. Nyerere, the analysts shared, threatened to leave Commonwealth if the British lift the arms embargo. https://t.co/0rmBwcfKy0",,,,,
7/22/2020 12:47,Uganda,2470,532,Uganda,,2,Camb_Ed,#Uganda,We're keeping children in #Uganda learning during #COVID19 by broadcasting literacy and numeracy radio lessons. Find out more about the #SESIL programme https://t.co/CrgBvCHZX9 #UKaid https://t.co/gUgjKVB6iE,,,,,
7/22/2020 12:47,Uganda,155,247,Uganda,,23,JpNyange,#Uganda,"RT @lilimobeth: #Uganda; impunity &amp; the poor state of Mulago referral hospital. Albert Tugumisirize, 28, was riding a bicycle a long Masaka…",,,,,
7/22/2020 12:47,Uganda,629,1972,Uganda,,1,godfreybatte,#Uganda,"RT @ChimpReports: #Covid19 Cases Now at 1,075 As 3 New Infections Are Confirmed #ChimpReportsNews #UgandaNews #Uganda #Featured @MinofHealt…",,,,,
7/22/2020 12:47,Uganda,77953,1105,Uganda,Uganda,1,ChimpReports,#Uganda,"#Covid19 Cases Now at 1,075 As 3 New Infections Are Confirmed #ChimpReportsNews #UgandaNews #Uganda #Featured @MinofHealthUG  @JaneRuth_Aceng @DianaAtwine  #StaySafeUG #Tonsemberera #SocialDistancing #FaceMasks #WearAMask #WednesdayMotivation #News  https://t.co/Eu10drwJ3D https://t.co/75t7x5pWO0",,,,,
7/22/2020 12:45,Uganda,432,129,Uganda,"Kampala, Uganda",4,whispereye_news,#Uganda,RT @whispereye_news: Shocking Report: @HEBobiwine  planted close to 7 Million voters under @NRMOnline party register  #News #Uganda #Africa…,,,,,
7/22/2020 12:45,Uganda,477,289,Uganda,,2,Nuwaherezaflor1,#Uganda,"Let's take things to #Uganda with  @McPallaso , L &amp; R Stardust Label https://t.co/tsSPsOdpo7  #NowPlaying King of The East 👈",,,,,
7/22/2020 12:44,Uganda,1342,3514,Uganda,,3,mwanjejamil,#Uganda,RT @AhmadiyyaUg: Gen. Sec. #Uganda #Ahmadiyya Muslim Community Sh. Adam Hamid &amp,,,,,
7/22/2020 12:44,Uganda,1662,4993,Uganda,"Kampala, Uganda",58,norbertsikes,#Uganda,"RT @observerug: Will Buganda Kingdom deliver low-cost #housing? While a house in the Kigo project costs at least Shs 300m, someone will be…",,,,,
7/22/2020 12:43,Uganda,1101,282,Uganda,"Mukono, Uganda",3,JalsaUganda,#Uganda,RT @AhmadiyyaUg: Gen. Sec. #Uganda #Ahmadiyya Muslim Community Sh. Adam Hamid &amp,,,,,
7/22/2020 12:43,Uganda,1253,2727,Uganda,cape town,18,bhanaC,#Uganda,"RT @Felix_Tih: Uganda is one of the most physically active nations in the world, acording to the WHO  For many Ugandans, staying active is…",,,,,
7/22/2020 12:43,Uganda,1054,87,Uganda,"Edinburgh, Scotland",2,GeorgeNugybaby,#Uganda,"RT @JEASjournal: Next, @GeorgeNugybaby &amp; @IsabS25 examine 'one-stop border posts' on the #Kenya/#Uganda and Uganda/#Rwanda frontiers to unp…",,,,,
7/22/2020 12:42,Uganda,269,640,Uganda,,3,AhmadiyyaUg,#Uganda,Gen. Sec. #Uganda #Ahmadiyya Muslim Community Sh. Adam Hamid &amp,,,,,
7/22/2020 12:41,Uganda,57,94,Uganda,,1,linkup_us,#Uganda,RT @KoimaSam: I'm flying to Uganda now.🇺🇬⚡⚡...you recover in advance 😂😂😂 #COVID19 #UhuruKenyatta #azziad #uganda https://t.co/sz62QuFU1O,,,,,
7/22/2020 12:41,Uganda,77953,1105,Uganda,Uganda,2,ChimpReports,#Uganda,RT @ChimpReports: @MinofHealthUG Flags Off Second #COVID19 Rapid Assessment Survey Team as Museveni Eases #Lockdown  #ChimpReportsNews #Uga…,,,,,
7/22/2020 12:41,Uganda,9055,9949,Uganda,"New York, NY",6,SamGregory,#Uganda,"RT @tcafricapodcast: All Eyes on You and Me! 👀  🚨New Episode🚨- We go to #Ethiopia, #Uganda, #SouthAfrica, and #Nigeria and ask why governme…",,,,,
7/22/2020 12:40,Uganda,77953,1105,Uganda,Uganda,2,ChimpReports,#Uganda,@MinofHealthUG Flags Off Second #COVID19 Rapid Assessment Survey Team as Museveni Eases #Lockdown  #ChimpReportsNews #UgandaNews #Uganda #Featured @JaneRuth_Aceng @DianaAtwine @KagutaMuseveni #StaySafeUG #Tonsemberera #COVID19 #SocialDistancing #News  https://t.co/gOy7NctDfi https://t.co/0MX4Hm0iQF,,,,,
7/22/2020 12:40,Uganda,3108,4614,Uganda,"Nairobi, Kenya",1,KoimaSam,#Uganda,I'm flying to Uganda now.🇺🇬⚡⚡...you recover in advance 😂😂😂 #COVID19 #UhuruKenyatta #azziad #uganda https://t.co/sz62QuFU1O,,,,,
7/22/2020 12:40,Uganda,400,878,Uganda,Australia ,6,Julie28086389,#Uganda,RT @danwibg: 'We were beaten': 20 LGBTQ+ Ugandans file lawsuit over alleged torture https://t.co/f16viYVXVT  #Uganda,,,,,
7/22/2020 12:40,Uganda,3112,3187,Uganda,portmore,0,tellaflexx,#Uganda,"@IamApass Let's take things to #Uganda with  @McPallaso , L &amp; R Stardust Label https://t.co/yc5fiQcBK0  #NowPlaying King of The East 👈RT",,,,,
7/22/2020 12:40,Uganda,41263,1033,Uganda,,6,Info_Activism,#Uganda,"RT @tcafricapodcast: All Eyes on You and Me! 👀  🚨New Episode🚨- We go to #Ethiopia, #Uganda, #SouthAfrica, and #Nigeria and ask why governme…",,,,,
7/22/2020 12:39,Uganda,91,141,Uganda,"Shop 18 Krsna Mart, Kisementi ",0,FixLabUg,#Uganda,How can we be of help today.... #uganda #trending #iphonerepair #NBSUpdates #FixLabUg https://t.co/KVsX6yZnAH,,,,,
7/22/2020 12:38,Uganda,821,374,Uganda,"Kampala, Uganda",0,UNHumanRightsUG,#Uganda,"@UNHumanRightsUg Country Representative, Robert @Kotchani, today concluded a visit to Hon. Prof. Ephraim Kamuntu, #MoJCA, to discuss issues around #justice and #humanrights in #Uganda #SDG16 https://t.co/JrGP22MeR7",,,,,
7/22/2020 12:38,Uganda,60,140,Uganda,,58,codjoero,#Uganda,"RT @observerug: Will Buganda Kingdom deliver low-cost #housing? While a house in the Kigo project costs at least Shs 300m, someone will be…",,,,,
7/22/2020 12:38,Uganda,776,785,Uganda,"Kampala, Uganda",3,latifah_nakato,#Uganda,RT @MastercardFdn: We're celebrating the launch of # YoungAfricaWorks in #Uganda on Thursday! Details below -- and follow @YoungAfricaWks f…,,,,,
7/22/2020 12:37,Uganda,2047,1118,Uganda,,11,HMwebesa,#Uganda,"RT @chapterfourug: In our second #HRCMediaSeries, we're thrilled to announce that @Nanjala1 will be in conversation with @Opiaiya tomorrow…",,,,,
7/22/2020 12:34,Uganda,3330,1881,Uganda,"Kampala, Uganda",58,SsendijjaG,#Uganda,"RT @observerug: Will Buganda Kingdom deliver low-cost #housing? While a house in the Kigo project costs at least Shs 300m, someone will be…",,,,,
7/22/2020 12:32,Uganda,2791,4999,Uganda,"Kampala, Uganda",0,WakoJoel,#Uganda,@Rwakakamba Majority of #Uganda-ns will elect them back hopelessly.,,,,,
7/22/2020 12:32,Uganda,1144,1439,Uganda,"Kisoro, Uganda",58,mfiteibyiza,#Uganda,"RT @observerug: Will Buganda Kingdom deliver low-cost #housing? While a house in the Kigo project costs at least Shs 300m, someone will be…",,,,,
7/22/2020 12:32,Uganda,77953,1105,Uganda,Uganda,0,ChimpReports,#Uganda,President Museveni Sanitizes Dr Aceng  #ChimpReportsNews #UgandaNews #Uganda #Featured #M7Address @JaneRuth_Aceng @KagutaMuseveni #StaySafeUG #Tonsemberera #COVID19 #SocialDistance #FaceMasks #WearAMask #WednesdayMotivation #News  https://t.co/z6TohhQ7JN https://t.co/vwyDtOvNQN,,,,,
7/22/2020 12:30,Uganda,192,400,Uganda,"Kampala, Uganda ",14,bobi_evanz,#Uganda,RT @ONLYINUG256: Good Morning from the Pearl of Africa - #Uganda located in East Africa and about the size of Great Britain. it's landscape…,,,,,
7/22/2020 12:28,Uganda,599,672,Uganda,Mzansi,18,Sma_Nhlapo,#Uganda,"RT @Felix_Tih: Uganda is one of the most physically active nations in the world, acording to the WHO  For many Ugandans, staying active is…",,,,,
7/22/2020 12:27,Uganda,1385,101,Uganda,"北京, 中华人民共和国",0,PeoplesDailyapp,#Uganda,#Uganda's ministry of health on Wednesday dispatched a team of medical experts to carry out a targeted rapid assessment exercise to determine the extent of community transmission of #COVID19. https://t.co/mpHCLWOkpS,,,,,
7/22/2020 12:27,Uganda,8033,1191,Uganda,,1,UNCDFdigital,#Uganda,"RT @UNCDF: News Clipping: ""@WFP’s revised #FinancialLiteracy Training Toolkit to improve resilience, self-reliance of refugees in #Uganda""…",,,,,
